,label,speed
74,1,"[24, 32, 34, 32, 33, 33, 32, 31, 26, 24, 15, 13]"
75,1,"[51, 48, 49, 52, 49, 51, 50, 49, 52, 36, 16, 12]"
76,1,"[52, 51, 52, 50, 50, 50, 53, 54, 53, 27, 19, 12]"
77,1,"[25, 44, 50, 22, 21, 20, 33, 51, 50, 51, 36, 26]"
78,1,"[50, 50, 50, 51, 51, 53, 49, 52, 51, 52, 47, 19]"
79,1,"[49, 50, 50, 49, 50, 50, 49, 48, 48, 45, 33, 13]"
80,1,"[49, 48, 46, 47, 44, 50, 53, 48, 26, 14, 10, 10]"
81,1,"[48, 51, 28, 29, 35, 44, 50, 39, 23, 21, 18, 14]"
82,1,"[43, 45, 44, 43, 46, 48, 51, 47, 46, 29, 21, 10]"
83,1,"[53, 52, 51, 51, 51, 50, 48, 50, 51, 49, 34, 12]"
84,1,"[49, 49, 52, 50, 50, 49, 44, 46, 47, 45, 21, 14]"
85,1,"[60, 59, 60, 56, 57, 58, 54, 54, 54, 54, 40, 12]"
86,1,"[48, 49, 48, 52, 52, 42, 20, 15, 13, 15, 15, 12]"
87,1,"[21, 22, 20, 21, 19, 19, 16, 13, 11, 11, 15, 13]"
88,1,"[21, 25, 29, 23, 21, 21, 25, 28, 26, 17, 20, 12]"
89,1,"[14, 14, 13, 17, 14, 12, 11, 12, 14, 18, 22, 11]"
90,1,"[14, 20, 16, 15, 14, 18, 18, 22, 30, 29, 18, 13]"
91,1,"[24, 30, 29, 27, 29, 32, 31, 27, 22, 26, 18, 11]"
92,1,"[34, 35, 33, 28, 23, 26, 23, 23, 22, 22, 19, 13]"
93,1,"[31, 31, 32, 33, 31, 33, 29, 26, 24, 19, 25, 26]"
94,1,"[30, 31, 31, 31, 30, 26, 23, 24, 18, 16, 14, 10]"
95,1,"[18, 20, 22, 16, 14, 15, 20, 21, 24, 18, 16, 11]"
96,1,"[28, 29, 30, 31, 28, 22, 20, 16, 14, 12, 12, 11]"
97,1,"[26, 20, 14, 14, 13, 11, 11, 17, 17, 17, 14, 20]"
98,1,"[24, 19, 18, 16, 18, 12, 16, 11, 11, 12, 12, 11]"
99,1,"[23, 19, 21, 14, 14, 14, 16, 17, 14, 13, 12, 10]"
100,1,"[25, 23, 18, 19, 15, 14, 17, 14, 20, 21, 19, 15]"
101,1,"[15, 11, 12, 17, 20, 24, 27, 26, 25, 25, 19, 12]"
102,1,"[15, 11, 13, 11, 12, 16, 13, 11, 12, 11, 11, 10]"
103,1,"[11, 10, 11, 15, 16, 18, 20, 22, 23, 17, 12, 16]"
104,1,"[12, 13, 14, 13, 10, 17, 26, 11, 14, 11, 15, 12]"
105,1,"[22, 14, 13, 12, 13, 13, 12, 13, 12, 12, 14, 13]"
106,1,"[13, 12, 16, 16, 24, 22, 19, 17, 18, 17, 12, 10]"
107,1,"[19, 18, 22, 21, 17, 20, 23, 23, 19, 22, 17, 13]"
108,1,"[20, 18, 20, 16, 18, 19, 17, 15, 14, 10, 10, 10]"
109,1,"[27, 15, 15, 17, 14, 12, 14, 17, 17, 14, 16, 12]"
110,1,"[15, 13, 10, 15, 16, 13, 16, 19, 21, 15, 18, 12]"
111,1,"[30, 39, 39, 39, 35, 32, 29, 27, 22, 19, 13, 11]"
112,1,"[15, 15, 14, 11, 13, 16, 18, 13, 14, 13, 14, 16]"
113,1,"[24, 24, 21, 18, 19, 22, 26, 24, 16, 14, 11, 10]"
114,1,"[32, 34, 32, 35, 39, 39, 23, 25, 19, 16, 14, 14]"
115,1,"[40, 42, 43, 40, 39, 35, 35, 40, 36, 25, 24, 16]"
116,1,"[31, 39, 40, 39, 34, 40, 37, 35, 25, 21, 19, 11]"
117,1,"[36, 32, 29, 29, 26, 21, 16, 14, 13, 12, 11, 11]"
118,1,"[35, 30, 39, 39, 39, 36, 27, 18, 13, 13, 14, 10]"
119,1,"[24, 26, 27, 21, 21, 20, 20, 22, 18, 15, 13, 13]"
120,1,"[19, 15, 12, 12, 12, 15, 14, 13, 12, 11, 11, 10]"
121,1,"[42, 39, 33, 21, 20, 17, 15, 13, 13, 14, 14, 12]"
122,1,"[23, 21, 25, 23, 18, 17, 14, 22, 18, 16, 13, 13]"
123,1,"[38, 39, 41, 42, 42, 40, 37, 39, 42, 42, 21, 15]"
124,1,"[51, 50, 49, 48, 45, 44, 45, 36, 22, 15, 13, 11]"
125,1,"[42, 39, 41, 40, 39, 36, 28, 26, 22, 16, 12, 12]"
126,1,"[29, 26, 25, 24, 25, 24, 26, 25, 20, 16, 15, 15]"
127,1,"[22, 18, 15, 20, 22, 20, 20, 16, 12, 16, 16, 13]"
128,1,"[38, 34, 33, 33, 32, 28, 26, 24, 24, 18, 15, 13]"
129,1,"[26, 28, 32, 33, 29, 24, 20, 17, 11, 13, 14, 11]"
130,1,"[41, 40, 40, 36, 37, 38, 36, 33, 34, 35, 32, 14]"
131,1,"[22, 24, 28, 27, 27, 23, 22, 23, 27, 26, 23, 12]"
132,1,"[12, 11, 19, 20, 19, 16, 14, 12, 13, 11, 10, 12]"
133,1,"[23, 23, 23, 21, 26, 23, 22, 16, 19, 19, 20, 13]"
134,1,"[24, 31, 27, 26, 24, 19, 20, 22, 24, 23, 14, 10]"
135,1,"[25, 27, 27, 26, 22, 21, 19, 16, 16, 14, 13, 11]"
136,1,"[29, 25, 25, 21, 19, 16, 14, 12, 14, 13, 13, 11]"
137,1,"[20, 21, 27, 34, 35, 26, 23, 26, 30, 33, 22, 12]"
138,1,"[31, 35, 31, 28, 33, 33, 25, 23, 25, 21, 20, 15]"
139,1,"[24, 29, 28, 25, 26, 24, 21, 19, 18, 15, 14, 12]"
140,1,"[23, 20, 15, 11, 13, 17, 18, 18, 14, 15, 13, 14]"
141,1,"[33, 32, 28, 23, 14, 18, 20, 17, 15, 12, 11, 10]"
142,1,"[28, 33, 31, 31, 18, 17, 14, 12, 12, 15, 18, 12]"
143,1,"[15, 16, 12, 15, 15, 18, 17, 18, 17, 15, 15, 15]"
144,1,"[35, 34, 31, 29, 22, 21, 19, 20, 22, 22, 20, 14]"
145,1,"[29, 26, 20, 20, 20, 16, 10, 13, 13, 10, 11, 11]"
146,1,"[33, 35, 34, 32, 33, 31, 30, 25, 26, 25, 18, 13]"
147,1,"[13, 14, 16, 15, 13, 15, 17, 18, 18, 16, 13, 10]"
148,1,"[12, 16, 15, 13, 16, 16, 11, 10, 15, 13, 13, 12]"
149,1,"[39, 40, 38, 34, 36, 36, 35, 36, 30, 23, 16, 11]"
150,1,"[14, 14, 18, 16, 17, 17, 19, 15, 13, 14, 13, 10]"
151,1,"[34, 29, 27, 20, 19, 18, 14, 11, 11, 11, 12, 10]"
152,1,"[34, 35, 32, 33, 35, 23, 19, 22, 27, 25, 19, 12]"
153,1,"[18, 20, 18, 27, 32, 34, 33, 33, 33, 33, 21, 11]"
154,1,"[15, 15, 14, 12, 12, 11, 13, 14, 14, 12, 12, 13]"
155,1,"[33, 26, 24, 23, 22, 21, 23, 20, 21, 17, 13, 10]"
156,1,"[27, 23, 19, 13, 13, 13, 13, 16, 14, 13, 13, 11]"
157,1,"[29, 30, 32, 25, 29, 30, 19, 16, 13, 13, 13, 14]"
158,1,"[19, 20, 13, 11, 11, 12, 11, 12, 14, 11, 11, 10]"
159,1,"[15, 13, 13, 13, 13, 13, 15, 14, 14, 12, 11, 10]"
160,1,"[29, 16, 11, 15, 12, 14, 16, 14, 13, 14, 14, 16]"
161,1,"[14, 11, 13, 13, 10, 11, 15, 13, 12, 14, 12, 10]"
162,1,"[29, 31, 34, 32, 25, 22, 21, 18, 16, 15, 14, 13]"
163,1,"[14, 18, 20, 22, 24, 24, 24, 22, 16, 12, 15, 12]"
164,1,"[25, 24, 20, 21, 27, 30, 30, 21, 12, 10, 10, 10]"
165,1,"[17, 21, 30, 37, 37, 32, 24, 17, 16, 18, 16, 14]"
166,1,"[29, 26, 29, 36, 37, 36, 32, 30, 26, 18, 12, 12]"
167,1,"[19, 20, 16, 14, 12, 10, 10, 11, 10, 14, 10, 10]"
